country_code,year,weekly_hours,expenditure_per_capita,price_index,birth_rate_per_thousand
HR,2021,39.7,1049.1200000000001,119.8,9.4
HR,2022,39.6,1087.8799999999999,48.9,8.8
HU,2021,39.5,1046.69,120.9,9.8
HU,2022,39.5,1083.6100000000001,48.3,9.3
IE,2015,34.8,1235.3700000000001,94.5,13.9
IE,2016,34.9,1209.9,89.8,13.4
IE,2017,35.1,1186.56,61.1,12.8
IT,2015,35.5,505.5,111.1,8.1
IT,2016,35.5,547.02,93.4,7.9
IT,2017,35.6,575.92,66.0,7.6
IT,2018,35.7,572.36,58.1,7.3
IT,2019,35.6,602.33,88.4,7.0
IT,2020,35.6,657.45,168.5,6.8
IT,2021,36.0,692.86,128.1,6.8
IT,2022,36.0,970.78,52.0,6.7
LU,2018,37.4,4680.16,59.6,10.3
LU,2019,37.7,4665.04,70.5,10.0
LU,2021,38.1,4777.17,119.6,10.5
LU,2022,38.1,5100.83,50.1,9.9
LV,2015,39.3,737.88,112.4,11.1
LV,2016,39.1,805.7,73.9,11.2
LV,2017,39.2,837.76,66.3,10.7
LV,2019,39.0,897.5699999999999,71.9,9.8
LV,2020,39.1,940.6999999999999,142.7,9.2
NL,2015,29.2,707.76,114.3,10.1
NL,2016,29.3,743.15,74.9,10.1
NL,2017,29.4,773.01,83.7,9.9
NL,2018,29.5,796.45,60.5,9.8
NL,2019,29.6,872.3399999999999,82.4,9.8
NL,2021,30.4,968.39,123.5,10.2
NL,2022,30.5,1033.56,52.4,9.5
PL,2015,40.0,752.29,112.2,9.7
PL,2016,40.0,1217.24,77.9,10.1
PL,2017,39.9,1293.36,83.9,10.6
PL,2018,39.9,1302.1399999999999,67.4,10.2
PL,2019,39.8,1635.1399999999999,86.0,9.9
PL,2021,39.6,1988.27,118.8,9.0
PL,2022,39.6,2056.32,58.3,8.3
PT,2018,39.5,492.51,87.0,8.4
PT,2021,39.5,566.33,55.0,7.6
PT,2022,39.5,622.5,59.4,8.0
SE,2015,36.1,1614.8400000000001,69.2,11.7
SE,2016,36.2,1604.06,64.7,11.8
SE,2017,36.2,1615.54,91.6,11.5
SE,2021,38.1,1693.98,54.5,11.0
SE,2022,38.1,1714.3,54.1,10.0
SI,2015,39.3,1004.78,68.4,10.0
SI,2016,39.1,997.97,80.6,9.9
SI,2017,39.0,1108.8799999999999,86.5,9.8
SI,2018,39.0,1143.08,86.3,9.4
SI,2019,39.2,1216.18,85.2,9.3
SI,2021,39.4,1331.94,54.5,9.0
SI,2022,39.2,1388.0,61.4,8.3
