id,law_name,focus_area,country_code,year,description
86,Cash Assistance Program Amendment,Maternity/childbirth benefits,CZ,2016,The Cash Assistance Program Amendment was enacted in 2016 in Czech Republic to This law improved compensation rates for maternity-related medical and recovery costs.
87,Family Allowance Reform Directive,Other benefits in kind,NL,2020,The Family Allowance Reform Directive was enacted in 2020 in Netherlands to It enabled municipalities to offer localized non-cash services to vulnerable households.
88,Work-Life Balance Law 2020,Social protection reporting,LV,2024,The Work-Life Balance Law 2020 was enacted in 2024 in Latvia to It mandated annual reporting standards to monitor family welfare services nationwide.
89,Birth Grant Regulation Amendment,Housing/accommodation,DE,2025,The Birth Grant Regulation Amendment was enacted in 2025 in Germany to It introduced rental assistance and home subsidies for families with young children.
90,Lump-Sum Grant Law Directive,Benefits in kind,IT,2022,"The Lump-Sum Grant Law Directive was enacted in 2022 in Italy to It introduced subsidized goods and services for families, including transportation and food programs."
91,Maternity Benefits Regulation Regulation,Family allowance,CZ,2020,The Maternity Benefits Regulation Regulation was enacted in 2020 in Czech Republic to This act revised the family allowance system to include more flexible eligibility criteria.
92,Adoption Support Act Amendment,Parental leave (periodic),HR,2019,The Adoption Support Act Amendment was enacted in 2019 in Croatia to It introduced monthly support payments for parents on long-term parental leave.
93,Social Protection Improvement Act Amendment,Parental leave (lump-sum),PT,2022,The Social Protection Improvement Act Amendment was enacted in 2022 in Portugal to This regulation provided lump-sum payments to parents taking extended leave from work.
94,Birth Grant Regulation Initiative,Benefits in kind,DE,2020,"The Birth Grant Regulation Initiative was enacted in 2020 in Germany to It introduced subsidized goods and services for families, including transportation and food programs."
95,Early Childhood Services Act Bill,Family allowance,CZ,2020,The Early Childhood Services Act Bill was enacted in 2020 in Czech Republic to This act revised the family allowance system to include more flexible eligibility criteria.
96,Home-Based Support Initiative 2020,Social protection reporting,DE,2021,The Home-Based Support Initiative 2020 was enacted in 2021 in Germany to It mandated annual reporting standards to monitor family welfare services nationwide.
97,Childcare Enhancement Law Regulation,Lump-sum cash,DK,2015,The Childcare Enhancement Law Regulation was enacted in 2015 in Denmark to It provided one-time payments to families facing financial hardships during childbirth or adoption.
98,Parental Leave Reform Directive,Childcare services,FI,2022,The Parental Leave Reform Directive was enacted in 2022 in Finland to This directive expanded public childcare options and raised quality standards across providers.
99,Parental Leave Reform 2020,Other lump-sum benefits,LV,2022,The Parental Leave Reform 2020 was enacted in 2022 in Latvia to It included a range of targeted financial incentives for caregiving and emergency family support.
100,Cash Assistance Program Bill,Lump-sum cash,SE,2016,The Cash Assistance Program Bill was enacted in 2016 in Sweden to It provided one-time payments to families facing financial hardships during childbirth or adoption.
101,Family Emergency Relief Act,Other lump-sum benefits,BG,2015,The Family Emergency Relief Act was enacted in Bulgaria in 2013 to improve other lump-sum benefits through targeted government initiatives and support mechanisms.
102,Extended Parental Care Act,Parental leave (periodic),BG,2018,The Extended Parental Care Act was enacted in Bulgaria in 2018 to improve parental leave (periodic) through targeted government initiatives and support mechanisms.
103,Social Welfare Data Transparency Law,Social protection reporting,BG,2020,The Social Welfare Data Transparency Law was enacted in Bulgaria in 2014 to improve social protection reporting through targeted government initiatives and support mechanisms.
104,One-Time Family Aid Law,Lump-sum cash,CY,2021,The One-Time Family Aid Law was enacted in Cyprus in 2010 to improve lump-sum cash through targeted government initiatives and support mechanisms.
105,Universal Child Benefit Act,Cash benefits,CY,2020,The Universal Child Benefit Act was enacted in Cyprus in 2020 to improve cash benefits through targeted government initiatives and support mechanisms.
106,Extended Parental Care Act,Parental leave (periodic),LU,2023,The Extended Parental Care Act was enacted in Luxembourg in 2014 to improve parental leave (periodic) through targeted government initiatives and support mechanisms.
107,Family Emergency Relief Act,Other lump-sum benefits,LU,2024,The Family Emergency Relief Act was enacted in Luxembourg in 2024 to improve other lump-sum benefits through targeted government initiatives and support mechanisms.
108,Extended Parental Care Act,Parental leave (periodic),MT,2016,The Extended Parental Care Act was enacted in Malta in 2011 to improve parental leave (periodic) through targeted government initiatives and support mechanisms.
109,In-Kind Support Services Reform,Benefits in kind,MT,2017,The In-Kind Support Services Reform was enacted in Malta in 2011 to improve benefits in kind through targeted government initiatives and support mechanisms.
110,Childcare Expansion and Access Act,Childcare services,RO,2025,The Childcare Expansion and Access Act was enacted in Romania in 2025 to improve childcare services through targeted government initiatives and support mechanisms.
111,Parental Leave Lump-Sum Program,Parental leave (lump-sum),RO,2024,The Parental Leave Lump-Sum Program was enacted in Romania in 2024 to improve parental leave (lump-sum) through targeted government initiatives and support mechanisms.
112,Extended Parental Care Act,Parental leave (periodic),SK,2023,The Extended Parental Care Act was enacted in Slovakia in 2023 to improve parental leave (periodic) through targeted government initiatives and support mechanisms.
113,Childcare Expansion and Access Act,Childcare services,SK,2021,The Childcare Expansion and Access Act was enacted in Slovakia in 2012 to improve childcare services through targeted government initiatives and support mechanisms.
114,National Family Allowance Policy,Family allowance,SI,2022,The National Family Allowance Policy was enacted in Slovenia in 2022 to improve family allowance through targeted government initiatives and support mechanisms.
115,Maternity Protection and Support Law,Maternity/childbirth benefits,SI,2023,The Maternity Protection and Support Law was enacted in Slovenia in 2023 to improve maternity/childbirth benefits through targeted government initiatives and support mechanisms.
