daycare_id,enrollment,year,staff,monthly_budget,percent_budget_used,monthly_price,opening_time,closing_time
5,91,2022,11,19486.67,84.42,250,6:30,18:00
5,34,2023,4,22680.01,77.98,639,6:30,18:00
5,87,2024,10,15534.18,91.59,205,6:30,18:00
5,37,2025,4,27339.99,90.41,642,6:30,18:00
6,94,2015,11,73068.14,91.46,702,7:00,18:00
6,77,2016,7,25185.55,81.56,372,7:00,18:00
6,96,2017,13,27744.3,86.51,245,7:00,18:00
6,35,2018,5,11967.83,90.24,300,7:00,18:00
6,96,2019,16,39427.9,93.55,477,7:00,18:00
6,78,2020,8,54482.57,72.76,617,7:00,18:00
6,20,2021,2,8457.98,95.44,400,7:00,18:00
6,31,2022,3,13627.84,96.5,509,7:00,18:00
6,75,2023,7,13991.95,79.2,233,7:00,18:00
6,31,2024,3,22769.98,83.79,633,7:00,18:00
6,55,2025,5,39434.33,80.38,764,7:00,18:00
7,47,2015,6,37107.98,99.57,694,8:00,18:15
7,74,2016,10,38158.42,86.47,576,8:00,18:15
7,74,2017,8,62154.81,95.62,795,8:00,18:15
7,57,2018,8,16366.6,93.92,240,8:00,18:15
7,62,2019,8,23757.04,93.06,462,8:00,18:15
7,21,2020,3,6292.95,76.83,296,8:00,18:15
7,54,2021,6,13782.55,89.36,312,8:00,18:15
7,64,2022,8,26657.43,85.57,402,8:00,18:15
7,100,2023,10,58116.08,75.98,512,8:00,18:15
7,71,2024,7,20057.69,88.39,290,8:00,18:15
7,96,2025,10,46951.46,79.49,507,8:00,18:15
8,46,2015,5,22652.61,79.99,483,6:45,17:45
8,51,2016,5,32840.76,70.51,641,6:45,17:45
8,46,2017,6,39536.65,98.3,796,6:45,17:45
8,88,2018,11,32572.82,82.77,426,6:45,17:45
8,89,2019,14,36253.22,98.22,449,6:45,17:45
8,73,2020,8,58533.76,91.18,763,6:45,17:45
8,46,2021,6,9743.11,97.68,227,6:45,17:45
8,89,2022,8,45774.92,92.15,597,6:45,17:45
8,23,2023,3,13622.25,95.51,682,6:45,17:45
8,62,2024,7,28276.94,79.03,476,6:45,17:45
8,99,2025,9,55769.69,90.23,680,6:45,17:45
9,80,2015,10,66767.68,96.15,778,6:30,20:45
9,80,2016,8,44501.81,84.98,482,6:30,20:45
9,89,2017,11,36285.68,97.68,484,6:30,20:45
9,33,2018,4,10074.94,88.45,261,6:30,20:45
9,56,2019,9,16103.87,71.74,305,6:30,20:45
9,47,2020,7,21593.67,85.93,385,6:30,20:45
9,25,2021,2,12705.38,70.89,603,6:30,20:45
9,55,2022,5,29903.1,77.48,509,6:30,20:45
9,100,2023,11,67732.02,80.51,740,6:30,20:45
9,58,2024,6,11814.58,74.92,221,6:30,20:45
9,42,2025,5,7168.97,71.86,212,6:30,20:45
10,23,2015,2,17622.51,95.09,678,9:00,18:15
10,20,2016,3,13429.48,99.64,722,9:00,18:15
10,48,2017,6,19178.5,98.01,399,9:00,18:15
10,29,2018,3,15277.24,83.8,500,9:00,18:15
10,88,2019,14,57744.1,72.36,571,9:00,18:15
10,56,2020,8,34329.87,89.25,670,9:00,18:15
10,61,2021,10,21187.54,84.58,373,9:00,18:15
10,91,2022,15,78000.37,95.85,725,9:00,18:15
10,23,2023,2,4220.23,90.87,200,9:00,18:15
10,45,2024,5,19278.19,78.93,375,9:00,18:15
10,87,2025,14,59906.99,92.2,677,9:00,18:15
11,70,2015,10,23907.33,72.97,412,6:45,19:00
11,74,2016,10,29009.2,97.35,409,6:45,19:00
11,29,2017,3,10498.77,72.97,367,6:45,19:00
11,86,2018,12,25139.2,72.15,357,6:45,19:00
11,22,2019,2,16852.68,97.29,673,6:45,19:00
11,60,2020,8,31784.14,97.97,455,6:45,19:00
11,27,2021,3,15754.74,72.25,623,6:45,19:00
11,39,2022,5,21435.6,92.8,600,6:45,19:00
11,25,2023,4,17461.63,74.79,788,6:45,19:00
11,59,2024,8,22287.66,93.09,362,6:45,19:00
11,51,2025,8,13043.79,70.88,243,6:45,19:00
12,90,2015,12,52879.05,72.18,614,9:45,16:15
12,23,2016,2,8191.16,72.29,399,9:45,16:15
12,93,2017,10,30846.74,91.82,341,9:45,16:15
12,39,2018,5,27924.55,77.94,800,9:45,16:15
12,40,2019,4,35525.18,93.41,750,9:45,16:15
12,37,2020,4,10785.05,88.51,295,9:45,16:15
12,44,2021,4,28333.69,94.99,711,9:45,16:15
12,38,2022,4,20089.43,90.64,506,9:45,16:15
12,66,2023,11,11988.89,87.87,200,9:45,16:15
12,80,2024,8,34495.99,81.56,500,9:45,16:15
12,31,2025,3,14707.38,74.8,511,9:45,16:15
13,48,2015,6,11391.3,72.73,240,6:15,18:45
13,47,2016,5,19187.04,73.69,461,6:15,18:45
13,32,2017,3,17689.51,85.12,623,6:15,18:45
13,72,2018,7,44767.74,90.51,565,6:15,18:45
13,20,2019,2,5771.58,92.99,350,6:15,18:45
13,63,2020,10,20422.33,75.96,366,6:15,18:45
13,85,2021,9,68980.75,89.61,750,6:15,18:45
13,77,2022,8,14324.99,82.91,220,6:15,18:45
13,55,2023,5,43860.17,70.7,765,6:15,18:45
13,73,2024,10,26890.54,97.31,359,6:15,18:45
13,51,2025,5,41878.76,85.3,788,6:15,18:45
14,51,2015,6,17210.66,89.6,282,9:15,16:15
14,27,2016,4,20440.67,92.21,736,9:15,16:15
14,57,2017,8,22122.93,75.45,342,9:15,16:15
14,36,2018,3,18904.47,96.79,610,9:15,16:15
14,79,2019,9,29693.57,72.17,330,9:15,16:15
14,40,2020,4,24606.07,75.95,598,9:15,16:15
14,51,2021,5,11641.03,83.74,218,9:15,16:15
14,91,2022,9,32213.61,73.57,383,9:15,16:15
14,97,2023,13,72986.57,91.58,759,9:15,16:15
14,61,2024,10,25182.08,89.94,454,9:15,16:15
14,92,2025,10,65293.83,96.04,652,9:15,16:15
15,92,2015,13,28036.33,79.48,362,6:30,19:30
15,100,2016,14,55489.17,92.06,583,6:30,19:30
15,42,2017,7,26443.57,96.09,650,6:30,19:30
15,29,2018,3,26563.79,85.05,778,6:30,19:30
15,86,2019,8,39694.87,77.23,452,6:30,19:30
15,97,2020,10,30814.52,88.97,328,6:30,19:30
15,36,2021,6,31989.13,78.07,757,6:30,19:30
15,64,2022,10,40289.32,88.68,734,6:30,19:30
15,82,2023,8,45465.39,75.49,681,6:30,19:30
15,63,2024,7,26465.13,93.61,444,6:30,19:30
15,37,2025,5,13538.09,87.31,355,6:30,19:30
16,60,2015,6,31629.24,72.97,520,9:00,19:45
16,74,2016,8,39040.29,73.52,444,9:00,19:45
16,77,2017,8,60830.3,87.86,754,9:00,19:45
16,66,2018,8,22854.52,98.28,329,9:00,19:45
16,91,2019,9,55619.27,79.08,735,9:00,19:45
16,38,2020,3,23399.16,93.9,585,9:00,19:45
16,77,2021,7,45644.22,99.09,501,9:00,19:45
16,26,2022,3,4818.01,75.98,210,9:00,19:45
16,84,2023,10,22072.3,79.7,282,9:00,19:45
16,96,2024,9,25149.34,75.15,271,9:00,19:45
16,56,2025,8,25227.46,83.82,393,9:00,19:45
17,84,2015,10,23417.43,85.17,256,6:15,16:00
17,26,2016,3,11741.18,84.49,459,6:15,16:00
17,80,2017,11,63037.17,76.49,660,6:15,16:00
17,58,2018,8,30877.17,86.77,534,6:15,16:00
17,68,2019,9,22379.37,71.78,365,6:15,16:00
17,70,2020,8,14901.18,80.03,263,6:15,16:00
17,75,2021,9,20660.88,83.69,257,6:15,16:00
17,94,2022,15,35659.43,78.16,406,6:15,16:00
17,22,2023,2,14183.96,92.7,734,6:15,16:00
17,21,2024,2,5910.38,88.03,312,6:15,16:00
17,48,2025,6,41302.89,74.08,729,6:15,16:00
18,67,2015,6,22555.76,70.8,310,7:00,20:30
18,80,2016,8,31365.38,98.5,335,7:00,20:30
18,55,2017,6,33957.94,73.37,642,7:00,20:30
18,58,2018,9,37964.41,90.98,702,7:00,20:30
18,29,2019,4,8245.83,92.85,320,7:00,20:30
18,38,2020,6,10527.94,84.01,296,7:00,20:30
18,85,2021,9,33587.8,74.68,397,7:00,20:30
18,32,2022,4,8401.21,72.11,228,7:00,20:30
18,73,2023,8,48908.76,73.96,570,7:00,20:30
18,81,2024,11,14212.77,97.13,205,7:00,20:30
18,63,2025,6,15600.91,72.17,259,7:00,20:30
19,55,2015,6,11963.41,84.77,220,8:45,18:00
19,73,2016,10,38791.06,97.38,653,8:45,18:00
19,92,2017,9,40196.98,99.15,502,8:45,18:00
19,83,2018,11,41355.17,80.01,511,8:45,18:00
19,32,2019,5,19382.93,89.85,726,8:45,18:00
19,51,2020,8,13061.38,98.61,271,8:45,18:00
19,28,2021,2,22100.86,81.78,704,8:45,18:00
19,88,2022,9,26531.75,92.03,303,8:45,18:00
19,89,2023,14,28879.94,72,320,8:45,18:00
19,61,2024,8,45647.38,77.29,769,8:45,18:00
19,82,2025,10,40527.62,81.31,506,8:45,18:00
20,39,2015,3,8275.76,96.54,240,8:00,16:00
20,73,2016,12,27223.74,75.8,460,8:00,16:00
20,62,2017,7,32940.6,92.96,555,8:00,16:00
20,79,2018,11,70352.6,70.86,783,8:00,16:00
20,36,2019,4,18865.73,84.03,493,8:00,16:00
20,83,2020,9,28436.66,82.27,400,8:00,16:00
20,41,2021,5,15521.16,93.64,439,8:00,16:00
20,29,2022,4,9685.26,95.64,390,8:00,16:00
20,72,2023,12,34872.97,70.75,480,8:00,16:00
20,57,2024,8,13047.93,73.72,242,8:00,16:00
20,78,2025,9,54160.19,81.4,596,8:00,16:00
21,97,2015,16,65782.26,90,641,6:45,17:00
21,59,2016,7,36437.34,92.83,528,6:45,17:00
21,64,2017,7,20332.11,76,373,6:45,17:00
21,63,2018,7,47932.5,91.2,686,6:45,17:00
21,81,2019,8,34983.44,75.76,405,6:45,17:00
21,85,2020,8,49266.22,93.54,698,6:45,17:00
21,99,2021,16,35370.95,73.19,303,6:45,17:00
21,65,2022,9,42989.26,99.29,789,6:45,17:00
21,97,2023,12,80570.75,95.58,785,6:45,17:00
21,38,2024,5,27045.86,93.13,627,6:45,17:00
21,77,2025,9,43143.42,80.25,477,6:45,17:00
22,97,2015,12,59092.9,85.19,593,9:30,17:15
22,53,2016,8,26562.12,96.16,485,9:30,17:15
22,74,2017,12,14065.97,78.16,222,9:30,17:15
22,23,2018,2,19031.61,97.33,701,9:30,17:15
22,56,2019,7,30597.81,95.8,605,9:30,17:15
22,34,2020,3,14688.08,82.06,491,9:30,17:15
22,21,2021,2,11070.13,94.72,469,9:30,17:15
22,49,2022,5,28614.61,97.3,678,9:30,17:15
22,32,2023,4,12296.81,82.79,407,9:30,17:15
22,94,2024,13,32987.74,82.55,379,9:30,17:15
22,95,2025,10,67204.03,99.89,759,9:30,17:15
23,38,2015,4,8059.97,94.53,219,7:00,17:15
23,29,2016,3,14149.42,94.07,489,7:00,17:15
23,90,2017,15,24409.11,76.33,267,7:00,17:15
23,63,2018,7,24548.17,86.29,433,7:00,17:15
23,69,2019,8,42733.33,88.59,546,7:00,17:15
23,28,2020,4,5471.92,89.21,230,7:00,17:15
23,26,2021,4,18280.78,71.46,754,7:00,17:15
23,78,2022,13,46216.64,91.26,500,7:00,17:15
23,25,2023,2,4929.86,84.22,224,7:00,17:15
23,92,2024,11,69155.57,83.12,748,7:00,17:15
23,82,2025,9,42439.25,91.92,621,7:00,17:15
24,67,2015,7,58256.64,80.58,759,6:45,20:30
24,66,2016,9,16643.14,97.36,223,6:45,20:30
24,68,2017,11,15402.76,99.03,255,6:45,20:30
24,85,2018,12,29521.3,83.21,415,6:45,20:30
24,90,2019,10,52262.76,73.6,520,6:45,20:30
24,52,2020,6,13022.11,75.24,250,6:45,20:30
24,55,2021,6,43832.6,94.28,707,6:45,20:30
24,86,2022,9,26678.96,87.67,336,6:45,20:30
24,92,2023,11,62567.31,92.98,617,6:45,20:30
24,73,2024,10,26227.24,83.14,419,6:45,20:30
24,97,2025,12,64978.59,91.77,703,6:45,20:30
25,92,2015,9,54697.54,89.82,724,6:00,18:15
25,75,2016,7,49126.8,98.08,575,6:00,18:15
25,45,2017,5,18139.69,91.51,350,6:00,18:15
25,28,2018,3,12328.99,96.17,495,6:00,18:15
25,73,2019,8,57839.5,88.98,785,6:00,18:15
25,23,2020,3,10214.9,95.3,534,6:00,18:15
25,99,2021,12,24737.26,98.6,219,6:00,18:15
25,31,2022,3,10679.32,88.99,364,6:00,18:15
25,24,2023,2,5283.25,83.14,204,6:00,18:15
25,33,2024,4,7763.69,70.08,200,6:00,18:15
25,47,2025,6,11216.13,95.06,208,6:00,18:15
26,23,2015,2,12677.84,71.82,623,6:30,17:45
26,77,2016,7,63575.76,75.15,773,6:30,17:45
26,44,2017,5,7683.51,94.77,206,6:30,17:45
26,43,2018,4,26464.92,78.46,649,6:30,17:45
26,20,2019,2,9772.07,90.07,460,6:30,17:45
26,37,2020,3,14039.93,79.13,463,6:30,17:45
26,50,2021,5,19181.72,76.36,444,6:30,17:45
26,32,2022,3,13077.92,97.9,375,6:30,17:45
26,46,2023,5,26227.57,70.83,549,6:30,17:45
26,69,2024,6,31902.62,80.44,387,6:30,17:45
26,72,2025,8,48728.6,99.04,668,6:30,17:45
27,78,2015,8,42221.43,99.46,638,9:15,19:45
27,24,2016,2,10442.87,76.37,465,9:15,19:45
27,62,2017,6,33643.79,72.51,542,9:15,19:45
27,30,2018,5,9506.48,97.67,315,9:15,19:45
27,28,2019,3,10830.16,72.86,398,9:15,19:45
27,32,2020,3,27618.7,86.77,750,9:15,19:45
27,65,2021,8,22237.94,83.54,386,9:15,19:45
27,83,2022,13,52894.54,98.42,669,9:15,19:45
27,44,2023,4,19801.94,85.81,556,9:15,19:45
27,82,2024,9,20701.87,90.87,251,9:15,19:45
27,98,2025,9,62427.91,91.02,587,9:15,19:45
28,35,2015,5,17452.11,84.9,519,7:30,16:00
28,93,2016,15,67421.9,85.53,610,7:30,16:00
28,67,2017,11,18583.22,78.66,317,7:30,16:00
28,69,2018,7,13327.73,78.82,227,7:30,16:00
28,64,2019,7,14037.04,99.63,254,7:30,16:00
28,32,2020,4,20004.19,76.12,586,7:30,16:00
28,56,2021,9,40168.89,71.95,674,7:30,16:00
28,82,2022,9,59221.18,73.75,605,7:30,16:00
28,91,2023,9,61943.24,81.66,653,7:30,16:00
28,36,2024,4,29935.82,91.44,746,7:30,16:00
28,31,2025,3,17349.4,71.63,528,7:30,16:00
29,20,2015,2,11350.64,98.13,559,8:00,19:30
29,62,2016,6,41662.67,78.18,623,8:00,19:30
29,73,2017,10,33187.5,97.57,525,8:00,19:30
29,97,2018,16,69652.05,89.97,671,8:00,19:30
29,67,2019,7,16282.85,71.19,249,8:00,19:30
29,59,2020,8,37393.65,95.59,612,8:00,19:30
29,28,2021,4,12071.44,99.17,462,8:00,19:30
29,69,2022,11,46819.44,70.57,619,8:00,19:30
29,86,2023,8,75702.05,98.93,739,8:00,19:30
29,79,2024,7,36760.96,82.37,420,8:00,19:30
29,69,2025,8,32236.31,80.51,457,8:00,19:30
30,74,2015,8,29186.51,79.48,350,8:00,16:00
30,40,2016,6,28170.37,91.46,618,8:00,16:00
30,31,2017,5,20667.34,70.43,678,8:00,16:00
30,38,2018,4,31019.55,95.36,742,8:00,16:00
30,98,2019,10,63222.42,74.56,592,8:00,16:00
30,89,2020,12,59081.05,96.92,712,8:00,16:00
30,51,2021,5,14988.36,85.69,251,8:00,16:00
30,62,2022,6,38174.03,79.4,755,8:00,16:00
30,74,2023,8,41742.87,92.79,547,8:00,16:00
30,80,2024,11,51678.39,90.97,608,8:00,16:00
30,72,2025,9,26225.47,98.68,402,8:00,16:00
31,82,2015,10,60947.04,81.6,698,8:45,18:45
31,84,2016,9,40556.32,87.4,602,8:45,18:45
31,30,2017,4,24194.99,82.76,675,8:45,18:45
31,67,2018,8,39073.36,94.3,575,8:45,18:45
31,49,2019,8,32800.26,80.65,562,8:45,18:45
31,31,2020,3,19094.14,84.72,767,8:45,18:45
31,30,2021,3,25325.85,93.02,789,8:45,18:45
31,84,2022,12,47329.44,72.5,629,8:45,18:45
31,25,2023,4,21150.65,74.18,755,8:45,18:45
31,33,2024,4,17584.58,77.15,537,8:45,18:45
31,85,2025,8,25894.55,79.85,272,8:45,18:45
32,74,2015,8,61370.75,78.51,757,9:30,20:00
32,77,2016,8,60458.95,96.72,685,9:30,20:00
32,61,2017,7,25193.63,81.98,365,9:30,20:00
32,64,2018,10,19121.75,76.84,313,9:30,20:00
32,81,2019,9,49966.57,80.56,698,9:30,20:00
32,44,2020,5,17325.11,96.97,371,9:30,20:00
32,23,2021,2,6929.77,72.17,252,9:30,20:00
32,52,2022,6,9646.68,71.38,220,9:30,20:00
32,37,2023,3,11899.08,79.85,333,9:30,20:00
32,43,2024,6,23654.64,70.05,510,9:30,20:00
32,92,2025,13,34769.11,90.19,440,9:30,20:00
33,33,2015,3,21431.55,97.23,657,9:45,19:00
33,60,2016,7,47309.14,95.68,699,9:45,19:00
33,58,2017,5,37620.4,80.74,691,9:45,19:00
33,57,2018,9,14745.1,70.98,225,9:45,19:00
33,27,2019,3,11001.67,82.27,369,9:45,19:00
33,68,2020,11,31544.6,98.92,480,9:45,19:00
33,34,2021,5,18788.32,84.9,595,9:45,19:00
33,22,2022,3,16042.26,72.08,676,9:45,19:00
33,93,2023,9,31452.45,91.35,347,9:45,19:00
33,20,2024,2,8505.21,95.15,529,9:45,19:00
33,50,2025,7,29841.41,85.77,603,9:45,19:00
34,21,2015,2,3541.23,92.09,205,8:45,20:30
34,49,2016,6,35568.84,94.94,654,8:45,20:30
34,62,2017,6,28830.26,80.28,466,8:45,20:30
34,75,2018,8,32636.67,70.4,486,8:45,20:30
34,95,2019,13,26506.05,86.8,299,8:45,20:30
34,40,2020,5,18133.36,95.08,525,8:45,20:30
34,80,2021,13,34602.4,81.36,376,8:45,20:30
34,37,2022,6,29397.4,81.09,780,8:45,20:30
34,87,2023,9,71431.32,74.7,708,8:45,20:30
34,32,2024,3,13025.04,94.41,421,8:45,20:30
34,35,2025,5,17837.77,86.74,501,8:45,20:30
35,21,2015,2,16474,86.98,797,9:30,16:00
35,25,2016,4,8755.44,92.75,362,9:30,16:00
35,47,2017,5,11493.56,84.81,296,9:30,16:00
35,32,2018,3,8387.14,72.37,259,9:30,16:00
35,76,2019,10,24077.63,88.76,373,9:30,16:00
35,96,2020,12,51186.86,76.55,486,9:30,16:00
35,98,2021,10,43701.17,90.45,438,9:30,16:00
35,70,2022,11,32014.46,78.25,397,9:30,16:00
35,46,2023,5,17635.35,92.48,360,9:30,16:00
35,40,2024,6,16742.49,86.95,364,9:30,16:00
35,63,2025,6,52063.48,89.84,724,9:30,16:00
36,66,2015,11,43758.5,84.03,726,8:45,18:30
36,87,2016,14,31422.59,82.07,405,8:45,18:30
36,53,2017,8,15590.36,72.12,323,8:45,18:30
36,70,2018,7,27086.69,92.34,341,8:45,18:30
36,34,2019,5,7871.06,97.39,205,8:45,18:30
36,41,2020,5,21878.45,97.06,559,8:45,18:30
36,43,2021,5,10074.66,92.77,271,8:45,18:30
36,96,2022,13,29383.33,80.7,361,8:45,18:30
36,37,2023,3,25124.88,97.01,702,8:45,18:30
36,92,2024,15,65849.31,76.81,624,8:45,18:30
36,40,2025,6,26357.86,70.01,696,8:45,18:30
37,39,2015,5,18581.95,84.2,438,7:30,16:30
37,62,2016,6,32279.37,88.58,542,7:30,16:30
37,95,2017,9,27992.67,81.32,361,7:30,16:30
37,90,2018,10,37402.24,76.44,400,7:30,16:30
37,91,2019,10,55678.76,82.77,648,7:30,16:30
37,31,2020,3,23227.35,86.49,744,7:30,16:30
37,87,2021,12,38699.54,76.82,503,7:30,16:30
37,94,2022,15,50185.01,91.85,645,7:30,16:30
37,38,2023,6,23311.94,84.77,745,7:30,16:30
37,26,2024,3,6851.72,96.15,285,7:30,16:30
37,58,2025,5,18357.14,98.59,299,7:30,16:30
38,63,2015,7,30486.45,78.82,487,8:45,16:45
38,99,2016,11,80352.41,70.08,745,8:45,16:45
38,29,2017,3,17046.17,91.99,582,8:45,16:45
38,75,2018,8,54835.1,73.73,652,8:45,16:45
38,78,2019,13,33071.1,78.12,482,8:45,16:45
38,84,2020,9,29319.38,75.86,411,8:45,16:45
38,87,2021,10,28638.51,84.49,303,8:45,16:45
38,59,2022,7,13941.52,75.83,210,8:45,16:45
38,69,2023,9,31815.72,72.53,562,8:45,16:45
38,51,2024,8,23249.94,97.72,530,8:45,16:45
38,64,2025,10,39156.81,88.91,520,8:45,16:45
39,94,2015,15,40859.39,97.56,439,7:15,16:45
39,42,2016,4,31549.13,86.43,676,7:15,16:45
39,47,2017,4,24052.25,87.15,520,7:15,16:45
39,30,2018,3,16329.87,73.37,543,7:15,16:45
39,59,2019,8,17282.12,91.64,324,7:15,16:45
39,34,2020,4,18733.34,96.64,513,7:15,16:45
39,63,2021,7,20455.14,93.99,337,7:15,16:45
39,80,2022,13,18855.8,70.02,228,7:15,16:45
39,27,2023,2,10492.59,87.45,405,7:15,16:45
39,22,2024,2,5216.62,99.75,287,7:15,16:45
39,86,2025,10,74326.75,93.01,746,7:15,16:45
40,88,2015,12,41813.69,99.92,454,8:30,17:00
40,80,2016,11,43356.74,76.17,508,8:30,17:00
40,88,2017,11,57055.64,85.87,655,8:30,17:00
40,44,2018,4,32516.4,85.78,668,8:30,17:00
40,84,2019,14,38279.63,85.96,452,8:30,17:00
40,75,2020,10,54867.48,89.25,748,8:30,17:00
40,69,2021,8,22651.11,70.38,409,8:30,17:00
40,43,2022,5,24895.47,89.61,640,8:30,17:00
40,35,2023,3,6239.42,74.12,206,8:30,17:00
40,51,2024,5,19777.41,75.79,457,8:30,17:00
40,63,2025,9,17948,72.06,324,8:30,17:00
41,68,2015,9,39021.33,94.06,685,6:45,20:45
41,74,2016,12,56341.18,95.63,637,6:45,20:45
41,34,2017,4,9521.77,90.63,329,6:45,20:45
41,56,2018,7,48568.59,89.81,765,6:45,20:45
41,34,2019,4,10745.06,81.77,325,6:45,20:45
41,93,2020,11,69296.28,99.19,794,6:45,20:45
41,54,2021,6,39392.16,97.79,610,6:45,20:45
41,23,2022,3,6600.05,98.96,354,6:45,20:45
41,35,2023,5,17329.35,80.24,456,6:45,20:45
41,86,2024,12,32290.24,77.27,352,6:45,20:45
41,41,2025,4,23225.93,92.8,674,6:45,20:45
42,69,2015,6,49783.01,82.83,769,8:45,20:45
42,51,2016,5,28704.43,92.54,535,8:45,20:45
42,29,2017,2,24266.93,94.58,782,8:45,20:45
42,45,2018,7,30639.51,75.06,595,8:45,20:45
42,54,2019,9,34418.66,70.87,696,8:45,20:45
42,76,2020,9,28861.66,83.73,398,8:45,20:45
42,38,2021,4,28203.12,76.79,747,8:45,20:45
42,90,2022,11,22364.47,71.22,308,8:45,20:45
42,100,2023,16,43985.95,79.92,460,8:45,20:45
42,87,2024,8,48885.07,80.94,661,8:45,20:45
42,65,2025,10,21775.84,89.05,349,8:45,20:45
43,74,2015,9,41657.37,99.34,537,9:30,16:15
43,93,2016,10,70691.92,82.63,640,9:30,16:15
43,35,2017,3,25474.34,80.17,784,9:30,16:15
43,31,2018,3,21742.92,70.22,618,9:30,16:15
43,31,2019,3,7167.64,84.82,211,9:30,16:15
43,91,2020,9,21123.95,92.43,235,9:30,16:15
43,72,2021,12,46615.18,98.32,789,9:30,16:15
43,84,2022,12,18713.28,76.38,205,9:30,16:15
43,90,2023,10,49372.17,77.77,642,9:30,16:15
43,25,2024,2,15635.07,86.01,544,9:30,16:15
43,94,2025,10,36249.53,92.73,364,9:30,16:15
44,36,2015,5,17617.89,94,517,8:15,16:45
44,48,2016,6,13766.25,85.91,243,8:15,16:45
44,62,2017,8,28492.97,93.23,410,8:15,16:45
44,56,2018,5,38535.41,85.76,779,8:15,16:45
44,54,2019,9,19428.41,82.82,339,8:15,16:45
44,83,2020,13,64726.95,94,795,8:15,16:45
44,61,2021,6,43894.68,80.92,712,8:15,16:45
44,21,2022,3,10272.75,97.66,552,8:15,16:45
44,70,2023,7,45165.89,98.47,601,8:15,16:45
44,52,2024,6,21809.45,82.04,400,8:15,16:45
44,23,2025,2,11147.63,78.27,470,8:15,16:45
45,26,2015,3,22318.25,79.08,796,7:15,16:30
45,82,2016,10,41718.84,74.11,436,7:15,16:30
45,33,2017,3,20598.98,93.96,708,7:15,16:30
45,57,2018,9,24801.75,89.36,433,7:15,16:30
45,57,2019,8,20835.53,85.85,441,7:15,16:30
45,60,2020,8,47426.81,84.27,702,7:15,16:30
45,23,2021,3,8035.67,76.9,308,7:15,16:30
45,81,2022,8,49668.39,80.51,559,7:15,16:30
45,33,2023,3,7476.89,85.27,231,7:15,16:30
45,48,2024,4,29661.99,89.76,740,7:15,16:30
45,28,2025,2,7665.35,87.04,318,7:15,16:30
46,83,2015,13,30313.98,74.7,309,8:30,17:30
46,50,2016,7,19982.34,92.18,440,8:30,17:30
