country,freq,year,birth_rate_per_thousand,live_births
IE,A,2022,10.4,54411.0
IE,A,2023,10.3,54472.0
IT,A,2015,8.1,485780.0
IT,A,2016,7.9,473438.0
IT,A,2017,7.6,458151.0
IT,A,2018,7.3,439747.0
IT,A,2019,7.0,420084.0
IT,A,2020,6.8,404892.0
IT,A,2021,6.8,400249.0
IT,A,2022,6.7,393333.0
IT,A,2023,6.4,379890.0
LT,A,2015,10.3,30065.0
LT,A,2016,10.3,29514.0
LT,A,2017,9.8,27911.0
LT,A,2018,9.5,26792.0
LT,A,2019,8.9,24973.0
LT,A,2020,8.4,23556.0
LT,A,2021,8.3,23330.0
LT,A,2022,7.8,22068.0
LT,A,2023,7.2,20623.0
LU,A,2015,10.7,6115.0
LU,A,2016,10.4,6050.0
LU,A,2017,10.4,6174.0
LU,A,2018,10.3,6274.0
LU,A,2019,10.0,6230.0
LU,A,2020,10.2,6459.0
LU,A,2021,10.5,6690.0
LU,A,2022,9.9,6495.0
LU,A,2023,9.5,6320.0
LV,A,2015,11.1,21979.0
LV,A,2016,11.2,21968.0
LV,A,2017,10.7,20828.0
LV,A,2018,10.0,19314.0
LV,A,2019,9.8,18786.0
LV,A,2020,9.2,17552.0
LV,A,2021,9.2,17420.0
LV,A,2022,8.5,15954.0
LV,A,2023,7.7,14490.0
MT,A,2015,9.7,4325.0
MT,A,2016,9.8,4476.0
MT,A,2017,9.2,4319.0
MT,A,2018,9.2,4444.0
MT,A,2019,8.6,4350.0
MT,A,2020,8.6,4414.0
MT,A,2021,8.5,4395.0
MT,A,2022,8.1,4309.0
MT,A,2023,8.1,4462.0
NL,A,2015,10.1,170510.0
NL,A,2016,10.1,172520.0
NL,A,2017,9.9,169836.0
NL,A,2018,9.8,168525.0
NL,A,2019,9.8,169680.0
NL,A,2020,9.7,168681.0
NL,A,2021,10.2,179441.0
NL,A,2022,9.5,167504.0
NL,A,2023,9.2,164487.0
PL,A,2015,9.7,369308.0
PL,A,2016,10.1,382257.0
PL,A,2017,10.6,401982.0
PL,A,2018,10.2,388178.0
PL,A,2019,9.9,374954.0
PL,A,2020,9.5,355309.0
PL,A,2021,9.0,331511.0
PL,A,2022,8.3,305132.0
PL,A,2023,7.4,272451.0
PT,A,2015,8.2,85500.0
PT,A,2016,8.4,87126.0
PT,A,2017,8.3,86154.0
PT,A,2018,8.4,87020.0
PT,A,2019,8.4,86579.0
PT,A,2020,8.1,84530.0
PT,A,2021,7.6,79582.0
PT,A,2022,8.0,83671.0
PT,A,2023,8.1,85699.0
RO,A,2015,10.2,201995.0
RO,A,2016,10.4,205773.0
RO,A,2017,10.8,210590.0
RO,A,2018,10.4,202744.0
RO,A,2019,10.3,199720.0
RO,A,2020,10.3,198302.0
RO,A,2021,10.1,193191.0
RO,A,2022,9.4,178233.0
RO,A,2023,8.4,160078.0
SE,A,2015,11.7,114870.0
SE,A,2016,11.8,117425.0
SE,A,2017,11.5,115416.0
SE,A,2018,11.4,115832.0
SE,A,2019,11.1,114523.0
SE,A,2020,10.9,113077.0
SE,A,2021,11.0,114263.0
SE,A,2022,10.0,104734.0
SE,A,2023,9.5,100051.0
SI,A,2015,10.0,20641.0
SI,A,2016,9.9,20345.0
SI,A,2017,9.8,20241.0
SI,A,2018,9.4,19585.0
SI,A,2019,9.3,19328.0
SI,A,2020,8.9,18767.0
SI,A,2021,9.0,18984.0
SI,A,2022,8.3,17627.0
SI,A,2023,8.0,16989.0
SK,A,2015,10.3,55602.0
SK,A,2016,10.6,57557.0
SK,A,2017,10.7,57969.0
SK,A,2018,10.6,57639.0
SK,A,2019,10.5,57054.0
SK,A,2020,10.4,56650.0
SK,A,2021,10.4,56565.0
SK,A,2022,9.7,52668.0
SK,A,2023,9.0,48627.0
EU27_2020,A,2015,9.8,4329512.0
EU27_2020,A,2016,9.9,4378440.0
EU27_2020,A,2017,9.7,4327775.0
EU27_2020,A,2018,9.5,4244353.0
EU27_2020,A,2019,9.3,4166236.0
EU27_2020,A,2020,9.1,4069896.0
EU27_2020,A,2021,9.2,4088494.0
EU27_2020,A,2022,8.7,3879509.0
EU27_2020,A,2023,8.2,3669659.0
